id,score
360000,0.0124733388854865
360001,0.0148047089647118
360002,0.045138048118390374
360003,0.029190034831382203
360004,0.020077462760738025
360005,0.007533112515010225
360006,0.3901009297154048
360007,0.11109039837085988
360008,0.08561305418778947
360009,0.5644412558054905
360010,0.2868399684847488
360011,0.009427650635385225
360012,0.18260512713235338
360013,0.20420004095181363
360014,0.20426518730801668
360015,0.0050012919311546245
360016,0.0028325560184106003
360017,0.23159633199532348
360018,0.006162752881676175
360019,0.4542759774580516
360020,0.25487121537941276
360021,0.0508429482556606
360022,0.5255361877132367
360023,0.020168749195725574
360024,0.07208366065135037
360025,0.14080596134653706
360026,0.3724875052686574
360027,0.5444711520281926
360028,0.21530807990695403
360029,0.2652811013230894
360030,0.5175808582629926
360031,0.29980420265295693
360032,0.2674972237829712
360033,0.04685149760941855
360034,0.07692903908962088
360035,0.05885736453176332
360036,0.3415462997809736
360037,0.1682689019234355
360038,0.037602668773509054
360039,0.3080664340459578
360040,0.18693090273905
360041,0.12686828080665438
360042,0.005879996683036226
360043,0.0404721006580382
360044,0.0129151679904477
360045,0.03306615750784558
360046,0.005956802600773576
360047,0.3511101589366756
360048,0.03219898575749462
360049,0.03402450430839667
360050,0.09119000311776397
360051,0.2321410872489128
360052,0.07198002290014073
360053,0.12446482008087757
360054,0.14918908384292992
360055,0.1245181001382771
360056,0.27027179407490515
360057,0.07651381457208714
360058,0.40710261749792104
360059,0.048099697783667426
360060,0.526992127251481
360061,0.1249707738670196
360062,0.05690676133860112
360063,0.12435508260924735
360064,0.1249749242048906
360065,0.3203454824660837
360066,0.017623300998436574
360067,0.3126877421226
360068,0.22817440042932813
360069,0.014843431742713676
360070,0.10855511156600203
360071,0.2720774671221534
360072,0.38464946902930325
360073,0.11658533464623465
360074,0.28761703636743857
360075,0.28798941931362915
360076,0.1700979868886684
360077,0.008771381597541074
360078,0.09264212541283297
360079,0.0582347206403446
360080,0.22827809748320999
360081,0.2885089974121001
360082,0.002163618438605575
360083,0.005993698201402775
360084,0.25872138807507766
360085,0.05610420531191442
360086,0.0462786081530336
360087,0.20286428752123425
360088,0.3207095274747447
